"Lance.code","Lon","Lat"
"1545_1",-81.07585,-5.71561666666667
"1545_2",-80.9419666666667,-6.2809
"1545_3",-80.8057166666667,-6.44878333333333
"1545_4",-80.67535,-6.50595
"1545_5",-80.6867,-6.51665
"1546_1",-81.1012833333333,-5.7189
"1546_2",-81.1184,-6.0539
"1546_3",-80.9087333333333,-6.37595
"1546_4",-80.9059,-6.35261666666667
"1546_5",-80.7350333333333,-6.32636666666667
"1546_6",-80.6395,-6.37356666666667
"1546_7",-80.7566833333333,-6.44291666666667
"1547_1",-81.0554333333333,-5.63461666666667
"1547_2",-81.0699,-5.60776666666667
"1547_3",-81.1430333333333,-5.37086666666667
"1547_4",-81.1898333333333,-5.29005
"1547_5",-81.2240333333333,-5.25751666666667
"1547_6",-81.0428,-5.35985
"1548_1",-80.7305333333333,-3.31348333333333
"1548_2",-80.6816666666667,-3.39833333333333
"1549_1",-80.92475,-3.72965
"1549_2",-80.9750833333333,-3.684
"1549_3",-80.9594166666667,-3.77771666666667
"1549_4",-80.9246666666667,-3.67253333333333
"1549_5",-80.88325,-3.545
"1549_6",-80.8651666666667,-3.516
"1550_1",-80.9675,-3.55001666666667
"1550_2",-81.01925,-3.53036666666667
"1550_3",-80.7021666666667,-3.465
"1550_4",-80.9671333333333,-3.51486666666667
"1550_5",-81.0570166666667,-3.30991666666667
"1550_6",-80.6630333333333,-3.35408333333333
"1551_1",-81.0693666666667,-5.6954
"1551_2",-81.0831,-5.6796
"1551_3",-81.0339166666667,-5.66016666666667
"1551_4",-81.1178833333333,-5.47518333333333
"1551_5",-81.1363666666667,-5.4894
"1551_6",-81.1639,-5.45216666666667
"1551_7",-81.1395166666667,-5.50963333333333
"1551_8",-81.1344333333333,-5.52028333333333
"1551_9",-81.1316333333333,-5.53158333333333
"1552_1",-80.9543666666667,-6.30383333333333
"1552_2",-80.9663333333333,-6.30288333333333
"1552_3",-80.9324166666667,-6.31938333333333
"1552_4",-80.9428666666667,-6.29886666666667
"1552_5",-80.9640833333333,-6.28433333333333
"1552_6",-80.9769666666667,-6.2872
"1552_7",-80.9865666666667,-6.26263333333333
"1553_1",-80.9768833333333,-6.29038333333333
"1553_2",-80.9235666666667,-6.35021666666667
"1553_3",-80.90465,-6.3187
"1553_4",-80.8901166666667,-6.30476666666667
"1553_5",-80.8719333333333,-6.31011666666667
"1553_6",-80.8519,-6.30661666666667
"1553_7",-80.8488833333333,-6.2945
"1554_1",-80.9911833333333,-6.27043333333333
"1554_2",-80.9673,-6.29328333333333
"1554_3",-80.9186833333333,-6.33345
"1555_1",-81.0519166666667,-6.23866666666667
"1555_2",-81.02595,-6.2643
"1555_3",-81.0781666666667,-6.17166666666667
"1555_4",-81.0652833333333,-6.16035
"1555_5",-81.0590333333333,-6.14081666666667
"1555_6",-81.0506833333333,-6.14041666666667
"1556_1",-80.7241166666667,-6.34063333333333
"1556_2",-80.7231666666667,-6.50395
"1556_3",-80.5894333333333,-6.40591666666667
"1556_4",-80.5982833333333,-6.3983
"1556_5",-80.3293166666667,-6.53396666666667
"1556_6",-80.2523833333333,-6.58301666666667
"1556_7",-80.2383,-6.64901666666667
"1557_1",-80.9709,-6.28925
"1557_2",-80.59115,-6.47425
"1557_3",-80.3346833333333,-6.57543333333333
"1557_4",-80.5099333333333,-6.70006666666667
"1557_5",-80.5351,-6.6917
"1557_6",-80.51705,-6.71798333333333
"1557_7",-80.5416833333333,-6.68495
"1557_8",-80.39055,-6.50571666666667
"1557_9",-80.26975,-6.57181666666667
"1557_10",-79.97595,-6.80143333333333
"1558_1",-79.3798333333333,-8.56633333333333
"1558_2",-79.5847166666667,-8.71316666666667
"1558_3",-79.7565,-8.42566666666667
"1558_4",-79.6440833333333,-8.4103
"1558_5",-79.6885,-8.43486666666667
"1558_6",-79.9341666666667,-8.34026666666667
"1558_7",-80.0415333333333,-8.29266666666667
"1558_8",-79.8005,-8.30275
"1558_9",-79.45845,-8.32353333333333
"1559_1",-79.3853666666667,-8.33423333333333
"1559_2",-79.4918333333333,-8.21805
"1559_3",-79.45905,-8.29681666666667
"1559_4",-79.4467166666667,-8.568
"1559_5",-79.4381166666667,-8.83875
"1559_6",-79.3209333333333,-8.55893333333333
"1559_7",-79.42575,-8.23766666666667
"1559_8",-79.4747666666667,-8.09228333333333
"1559_9",-79.5342333333333,-8.00808333333333
"1559_10",-79.3262,-8.10176666666667
"1560_1",-79.5150833333333,-8.9164
"1560_2",-79.3551833333333,-8.73908333333333
"1560_3",-79.5186166666667,-9.1836
"1560_4",-79.3355833333333,-9.25401666666667
"1560_5",-79.0886833333333,-9.1561
"1560_6",-79.0555333333333,-9.1231
"1560_7",-79.0394666666667,-8.60628333333333
"1560_8",-79.6035,-8.27216666666667
"1560_9",-79.5505166666667,-8.28228333333333
"1560_10",-79.1716833333333,-8.39026666666667
"1561_1",-79.9699166666667,-6.95818333333333
"1561_2",-80.2082333333333,-6.81335
"1561_3",-80.4049,-6.6588
"1561_4",-80.43935,-6.66093333333333
"1561_5",-80.5364666666667,-6.60741666666667
"1561_6",-80.58745,-6.4223
"1561_7",-80.6067166666667,-6.39648333333333
"1561_8",-80.6157833333333,-6.39745
"1562_1",-80.0372333333333,-6.7532
"1562_2",-80.05,-6.73818333333333
"1562_3",-80.0749833333333,-6.67336666666667
"1562_4",-80.0874666666667,-6.66951666666667
"1562_5",-80.2532833333333,-6.81766666666667
"1562_6",-80.3837,-6.72533333333333
"1562_7",-80.3031166666667,-6.68718333333333
"1562_8",-80.47005,-6.62471666666667
"1562_9",-80.4680166666667,-6.52073333333333
"1562_10",-80.3210166666667,-6.73566666666667
"1562_11",-80.0338333333333,-6.7404
"1562_12",-80.0260333333333,-6.7363
"1563_1",-80.0889166666667,-6.80656666666667
"1563_2",-80.6555,-7.10423333333333
"1563_3",-80.0087833333333,-7.05988333333333
"1563_4",-79.7594333333333,-7.05511666666667
"1563_5",-79.9082833333333,-6.90481666666667
"1564_1",-80.19775,-6.8416
"1564_2",-80.3568,-6.7129
"1564_3",-80.4238,-6.7127
"1564_4",-80.3251833333333,-6.68413333333333
"1564_5",-80.4229833333333,-6.50875
"1564_6",-80.1871,-6.6131
"1564_7",-80.1874666666667,-6.65035
"1564_8",-80.1080333333333,-6.66958333333333
"1565_1",-84.7536833333333,-6.59716666666667
"1565_2",-84.8039166666667,-6.42883333333333
"1565_3",-85.0841333333333,-6.63333333333333
"1565_4",-85.0953333333333,-6.642
"1566_1",-77.8505166666667,-11.84505
"1566_2",-77.9372,-11.8898333333333
"1566_3",-78.3183333333333,-11.8908333333333
"1566_4",-78.4212333333333,-12.01345
"1566_5",-79.08685,-11.5520666666667
"1566_6",-79.0463333333333,-11.5435666666667
"1566_7",-78.9839333333333,-11.5516666666667
"1566_8",-78.9690166666667,-11.55055
"1566_9",-78.8473666666667,-11.5430833333333
"1566_10",-78.6926,-11.57205
"1566_11",-78.66725,-11.6694833333333
"1567_1",-79.3083833333333,-8.37013333333333
"1567_2",-79.4706333333333,-8.33675
"1567_3",-79.6741666666667,-8.15878333333333
"1567_4",-79.818,-7.97506666666667
