Trip code,Lance #,mammal code,Lights,Animal code,Latitude,Longitude,Species,Condition,State,Length,Sex,Young - length,Young - sex,Use,Sample?,Photo #s,Comments,photo link,photo link 2
117,1,343,,pdm-974,18'07.500,73'21.000,1,2,2,190.00,,,,,TRUE,"4,5,6,7,8","Cayo en la red de lastre aprox a 100m, esta red se fondea cuando hay mucho viento.Dientes SI 44, SD 45/ II:48, ID: 47 hocico 12.9cm",TC117-12-pdm974 (Common dolphin),
165,2,196,,gvh-,,,1,2,2,170.00,,,,,TRUE,,Bycatch,,
165,2,197,,gvh-,,,1,2,2,173.00,,,,,TRUE,,Bycatch,,
165,3,198,,gvh-,,,1,2,2,,,,,,TRUE,,Bycatch,,
165,3,200,,gvh-,,,2,2,2,88.00,,,,,TRUE,,"Cria; no mammal data sheet for this trip, length come from sample bag",TC165-03-MC200  pspi foetus,
165,3,265,,gvh,,,2,2,2,175.00,2,,,,TRUE,,"Mama; no mammal data sheet for this trip, length comes from sample bag",TC165-03-MC265 pspi mom,
169,1,201,,gvh,,,1,2,2,,,,,,FALSE,,,,
169,1,202,,gvh,,,1,2,2,,,,,,FALSE,,,,
169,1,203,,gvh,,,1,2,2,,,,,,FALSE,,,,
169,4,204,,gvh,,,1,2,2,,,,,,TRUE,,,,
169,4,205,,gvh,,,1,2,2,,,,,,TRUE,,,,
169,4,206,,gvh,,,1,2,2,250.00,,,,,TRUE,,,,
169,5,207,,gvh,,,1,2,2,,2,,,,TRUE,,,,
169,5,208,,gvh,,,1,2,2,,,,,,TRUE,,Cria,,
169,6,209,,gvh,,,1,2,2,,,,,,FALSE,,,,
172,1,212,,gvh,,,1,2,2,239.00,,,,,TRUE,,Dientes de la Mand. Superior: 46 y de la inferior: 49,TC172-01-MC212 dcap,
172,1,213,,gvh,,,3,2,2,195.00,,,,,TRUE,,Dientes de la mandíbula superior e inferior: 28,,
172,5,210,,gvh,,,7,2,2,221.00,2,,,,TRUE,1,Cachalotillo mama,,
172,5,211,,gvh,,,7,2,2,,,,,,TRUE,1,Cachalotillo cria,,
175,1,214,,gvh,,,1,2,2,246.00,2,,,,TRUE,,"Muestra: musculo, dentadura: 43/47",,
177,1,216,,gvh,,,4,2,2,,,,,,TRUE,"26,27",,,
177,5,217,,gvh,,,1,2,2,212.00,,,,,TRUE,,Dientes: 44/44,,
177,5,218,,gvh,,,1,2,2,212.00,,,,,TRUE,,Dientes: 49/55,,
177,8,215,,gvh,,,1,1,1,234.00,,,,,TRUE,9,Dientes: 43/43. Arponeado de regreso a puerto.,,
177,8,219,,gvh,,,4,,,350.00,,,,,TRUE,8,"Foto: comparacion de la cola de bufeo con la del delfin arponeado, cola 76 cm",,
181,1,220,,gvh,,,1,2,2,,,,,1,FALSE,,,,
181,1,221,,gvh,,,1,2,2,210.00,,,,1,FALSE,,Dientes:  43/43,,
181,1,222,,gvh,,,1,2,2,242.00,,,,1,FALSE,,Dientes:  42/44,,
181,1,223,,gvh,,,1,2,2,192.00,,,,1,FALSE,,Dientes:  45/47,,
181,1,224,,gvh,,,1,2,2,137.00,,,,1,FALSE,,,,
181,1,225,,gvh,,,1,2,2,96.00,,,,1,FALSE,,Dientes: 47/47,,
181,2,226,,gvh,,,1,2,2,213.00,,,,1,FALSE,,Dientes: 46/49,,
181,2,227,,gvh,,,1,2,2,,,,,1,FALSE,,,,
181,2,228,,gvh,,,1,2,2,250.00,,,,1,FALSE,,,,
181,2,229,,gvh,,,1,2,2,217.00,,,,1,FALSE,,Dientes:  50/48,,
181,2,230,,gvh,,,1,2,2,198.00,,,,1,FALSE,,,,
181,3,231,,gvh,,,4,2,2,,,,,1,FALSE,,,TC181-03-MC232  tursiops truncatus,
181,3,232,,gvh,,,4,2,2,,,,,1,FALSE,,,TC181-03-MC232  tursiops truncatus,
186,1,233,,gvh,,,2,1,2,,,,,5,FALSE,,Liberado vivo en  buenas condiciones,,
186,1,234,,gvh,,,2,1,2,,,,,5,FALSE,,Liberado vivo en  buenas condiciones,,
186,1,235,,gvh,,,2,2,2,,,,,6,TRUE,,,,
186,3,236,,gvh,,,2,2,2,140.00,,,,,TRUE,,Dientes: 18/20.,,
186,3,237,,gvh,,,1,2,2,232.00,,,,,TRUE,,,,
186,9,238,,gvh,,,1,2,2,,,,,6,TRUE,,No se pudo subir a la embarcacion.,,
187,1,268,,,,,2,,2,,,,,,FALSE,,Se enmallo un tonino,,
187,3,269,,gvh,,,8,1,2,,,,,6,FALSE,,"Lobo marino enmallado vivo, se le mato",,
187,3,270,,,,,3,2,2,,,,,,FALSE,,,,
187,3,271,,,,,3,2,2,,,,,,FALSE,,,,
187,4,272,,,,,3,,2,,,,,,FALSE,,,,
187,7,273,,,,,6,,2,,,,,,FALSE,,"""Delfin""",,
187,7,274,,,,,6,,2,,,,,,FALSE,,"""Delfin""",,
187,8,275,,,,,2,,2,,,,,,FALSE,,,,
187,8,276,,,,,2,,2,,,,,,FALSE,,,,
187,8,277,,,,,2,,2,,,,,,FALSE,,,,
187,8,278,,,,,2,,2,,,,,,FALSE,,,,
188,1,239,,gvh,,,1,2,2,,,,,,TRUE,,,,
188,1,240,,gvh,,,2,2,2,186.00,,,,,TRUE,11,Dientes: 16/17.,,
188,2,241,,gvh,,,1,2,2,186.00,,,,,TRUE,,Dientes: 47/47,"TC188-02-MC241, MC243 capensis and obscurus",
188,2,242,,gvh,,,3,2,2,196.00,,,,,TRUE,,Dientes: 29/28,TC188-02-MC242 (Turtle is GVH757),
188,2,243,,gvh,,,3,2,2,195.00,,,,,TRUE,8,Dientes: 30/30,"TC188-02-MC241, MC243 capensis and obscurus",
188,2,244,,gvh,,,3,2,2,193.00,,,,,TRUE,,Dientes: 29/29,,
188,4,245,,gvh,,,5,1,5,,,,,,FALSE,"3,4",Avistada: ballena de Bryde,TC188-04-MC245 bryde or seiwhale,
189,1,248,,gvh,,,3,2,2,180.00,,,,1,TRUE,,Dientes:  30/28,,
189,1,249,,gvh,,,3,2,2,,,,,1,TRUE,,,,
189,1,250,,gvh,,,3,2,2,,,,,1,TRUE,,,,
189,1,251,,gvh,,,4,2,2,,,,,1,TRUE,,,,
189,1,252,,gvh,,,4,2,2,180.00,,,,1,TRUE,,Dientes: 21/19,,
189,1,253,,gvh,,,3,2,2,189.00,,,,1,TRUE,,Dientes: 28/29,,
189,1,254,,gvh,,,4,2,2,,,,,1,TRUE,,,,
189,1,255,,gvh,,,3,2,2,,,,,1,TRUE,,,,
189,1,256,,gvh,,,3,2,2,197.00,,,,1,TRUE,,Dientes:  28/30,,
189,5,246,,gvh,,,,,,,,,,,FALSE,,,,
189,9,247,,gvh,,,2,2,2,136.00,,,,1,TRUE,,Dientes:  20/17,,
191,1,258,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,347,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,348,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,349,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,350,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,351,,gvh,,,3,2,1,,,,,2,FALSE,,,,
191,1,352,,gvh,,,3,2,5,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,1,353,,gvh,,,3,2,5,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,1,354,,gvh,,,3,2,1,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,1,355,,gvh,,,3,2,1,,,,,2,FALSE,,Comprado de otra embarcacion,,
191,2,257,,gvh,,,3,1,2,,,,,2,TRUE,"18,19,20,21",Se enredo de la cola un delfin de altura de gran tamano y de color marron claro.,TC191-02-MC257 L.obscurus,
191,2,259,,gvh,,,6,1,1,,,,,2,TRUE,,delfin,,
191,2,260,,gvh,,,6,1,1,,,,,2,FALSE,,delfin,,
