trip,set,ID,animal code,Lights,species,condition,state,use,total length,Sample,comment,photo link
1300,1,1,,S,cola redonda,vivo,cayo en aparejo,,,,no se midió porque se desenmalló en el mar,
1300,2,2,,S,cola redonda,vivo,cayo en aparejo,,,,no se midió porque se desenmalló en el mar,
1300,2,3,,S,cola redonda,vivo,cayo en aparejo,,,,no se midió porque se desenmalló en el mar,
1301,1,4,,S,cola redonda,vivo,cayo en aparejo,,,,Se solto vivo,
1316,1,5,,,cola en punta,vivo,cayo en aparejo,,106,,,Database pictures\Sharks\TC1316-01-p.luna1a.JPG
1316,7,6,,,cola en punta,vivo,cayo en aparejo,,,,"no se pudo medir, porque no se subio al bote",
1321,3,7,,S,cola en punta,muerto,cayo en aparejo,,76,,,
1348,3,10,,,cola en punta,vivo,avistado,,,,,
1371,2,11,,,cola en punta,vivo,cayo en aparejo,,,,se libero,
1373,6,12,,S,cola redonda,vivo,cayo en aparejo,,,,"se libero sin ser subido a la embarcacion
05'08.212/ 81'44.633",
1373,6,13,,S,cola redonda,vivo,cayo en aparejo,,,,"se libero sin ser subido a la embarcacion
05'09.653/ 81'44.938",
1385,2,14,,S,cola redonda,vivo,avistado,,1,,,Z:\Observer Database\Database pictures\Observers pics\tc1385-08-pezluna01.JPG
1391,2,15,,,cola redonda,vivo,cayo en aparejo,,2,,se solto vivo,Z:\Observer Database\Database pictures\Observers pics\tc1391-08-pezluna02.JPG
1406,6,16,,S,cola redonda,vivo,avistado,,,,,
1406,4,17,,S,cola redonda,vivo,cayo en aparejo,,,,03'37.780/ 81'15.693,Database pictures\Observers pics\TC1406-4-luna1.JPG
1430,4,19,,,cola redonda,vivo,cayo en aparejo,,,,soltado vivo,Z:\Observer Database\Database pictures\Observers pics\TC1430-04-luna1.JPG
1495,10,20,,,cola redonda,vivo,cayo en aparejo,,,piel en sal,,Z:\Observer Database\Database pictures\Observers pics\TC1459-10-PPA33.JPG
1496,4,21,,,cola redonda,muerto,cayo en aparejo,,63,,,Z:\Observer Database\Database pictures\Observers pics\TC1496-4-molamola.JPG
1482,1,22,luna1,,cola en punta,vivo,cayo en aparejo,,,,Se devolvió al mar,Database pictures\Observers pics\TC1482-07-luna1.jpg
1516,5,23,,,cola redonda,vivo,cayo en aparejo,,,piel en sal,"no se subió al bote, se soltó en red",Database pictures\Observers pics\TC1516-5-PPA42a.JPG
1581,6,24,,,cola redonda,muerto,cayo en aparejo,,100,,"tamano 1 metro aprox. Cayo en la red, pero al levantar se solto",Z:\Observer Database\Database pictures\Observers pics\TC1581-6-luna1.JPG
1590,5,25,,,cola redonda,vivo,cayo en aparejo,,45,piel en sal,,Z:\Observer Database\Database pictures\Observers pics\64a.JPG
1590,7,27,,,,vivo,cayo en aparejo,,,,no se subio al bote.,Z:\Observer Database\Database pictures\Observers pics\R65a.JPG
1593,1,28,,,cola redonda,muerto,cayo en aparejo,,87,,,Z:\Observer Database\Database pictures\Observers pics\TC1593-1-mola.JPG
1604,7,29,PPA55,,,vivo,cayo en aparejo,,,piel en sal,no identificado. Mola spp. No se subio al bote. 70 cm aprox,
1627,11,30,,S,cola redonda,muerto,cayo en aparejo,,79,piel en alcohol,,
1627,13,31,,S,cola redonda,vivo,cayo en aparejo,,,,"Estado: Avistado y cayó en red.
Se fue viva",
1628,5,33,,,cola redonda,muerto,cayo en aparejo,,94,piel en alcohol,,Database pictures\Observers pics\TC1628-5-pezluna.JPG
1657,12,34,,,,vivo,avistado,,,,,Z:\Observer Database\Database pictures\Observers pics\TC1657-Pez luna avisatado.JPG
1681,1,35,,S,cola en punta,vivo,cayo en aparejo,,100,,1 meter aprox length. Se libero al subir aparejo,Database pictures\Observers pics\TC1681-1-pezluna.JPG
1719,6,36,,S,cola redonda,vivo,cayo en aparejo,,150,,se libero vivo,Z:\Observer Database\Database pictures\Observers pics\TC1719-4-Luna.JPG
507,2,37,,S,,vivo,cayo en aparejo,2,119,,,
615,5,38,,S,,vivo,cayo en aparejo,,,,,
628,3,39,,S,cola redonda,vivo,cayo en aparejo,,,,,
632,2,40,,S,cola redonda,vivo,cayo en aparejo,,,,,
632,5,41,,S,cola redonda,vivo,cayo en aparejo,,,,,
633,2,42,,S,cola redonda,vivo,cayo en aparejo,,,,"10'00.198 - 79'08.593, 06:46",
633,3,43,,S,cola redonda,vivo,cayo en aparejo,,,,,
687,3,44,,S,cola redonda,vivo,cayo en aparejo,,,,Cayo en espinel a las 7:21 am en las coordenadas 18'21.763;72'53.126. Especie cola redonda. Clima templado. Se tomo muestra de piel,
687,3,45,,S,cola redonda,vivo,cayo en aparejo,,,,Cayo en espinel a las 9:18 am en las coordenadas 18'22.364;72'49.948. Especie cola redonda. Clima templado. Se tomo muestra de piel,
1150,1,46,,S,cola redonda,vivo,cayo en aparejo,,,,,Database pictures\Observers pics\TC1150-1-mola spp.JPG
1170,6,47,,S,,vivo,cayo en aparejo,,,,,
1236,12,49,,S,,vivo,cayo en aparejo,,,,,
1293,6,50,,S,,vivo,cayo en aparejo,1,,,,
1242,7,51,,S,,vivo,cayo en aparejo,,,,,
1242,9,52,,S,,vivo,cayo en aparejo,,,,,
1242,10,53,,S,,vivo,cayo en aparejo,,,,,
1243,5,54,,S,cola redonda,vivo,cayo en aparejo,,,,,Database pictures\Observers pics\TC1243-5-molaspp.jpg
1243,6,55,,S,,vivo,cayo en aparejo,,,,,Database pictures\Observers pics\TC1243-6-molaspp.jpg
1254,3,56,,,,vivo,cayo en aparejo,,,,,
1348,4,57,,S,cola en punta,vivo,cayo en aparejo,,84,,,
1348,6,58,,S,cola en punta,vivo,cayo en aparejo,,95,,,
1435,1,59,,S,cola redonda,vivo,cayo en aparejo,,,,,Z:\Observer Database\Database pictures\Observers pics\TC1435-2-pezluna1.JPG
1528,8,61,,S,,vivo,cayo en aparejo,,,,,
1763,8,62,,,cola redonda,vivo,cayo en aparejo,,205,,,Database pictures\Sharks\TC1763-8-luna.JPG
1764,1,63,,,,,,,,,,
