"Lance.code","Date","Lat.I","Lon.I","Lat.F","Lon.F","MY","Year"
"1_1",2004-02-27,-22.9892333333333,-71.3097,-22.8720333333333,-71.4733,2004-02-01,2004
"1_2",2004-02-28,-23.0414833333333,-71.5207166666667,-22.859,-71.6535166666667,2004-02-01,2004
"1_3",2004-02-29,-23.0681833333333,-71.7256666666667,-22.5392833333333,-71.8554333333333,2004-02-01,2004
"1_4",2004-03-01,-22.6356,-71.7739333333333,-22.8000833333333,-71.8571833333333,2004-03-01,2004
"1_5",2004-03-02,-23.3254,-71.1249333333333,-23.2062,-71.2258333333333,2004-03-01,2004
"1_6",2004-03-03,-23.5902833333333,-71.0060333333333,-23.4500666666667,-71.1184,2004-03-01,2004
"2_1",2004-02-11,-17.0902833333333,-73.5152333333333,-17.0598333333333,-73.5586333333333,2004-02-01,2004
"2_2",2004-02-12,-17.4618,-74.4345166666667,-17.3049,-74.5949333333333,2004-02-01,2004
"2_3",2004-02-13,-17.41135,-74.7873833333333,-17.2615666666667,-74.9573333333333,2004-02-01,2004
"2_4",2004-02-14,-17.2903333333333,-74.94505,-17.1402,-75.1071833333333,2004-02-01,2004
"2_5",2004-02-15,-17.0926666666667,-75.2785166666667,-17.94085,-75.4400666666667,2004-02-01,2004
"2_6",2004-02-20,-16.4231333333333,-74.94135,-16.4612833333333,-75.1113833333333,2004-02-01,2004
"2_7",2004-02-21,-17.3436,-74.7163666666667,-17.2911833333333,-74.81445,2004-02-01,2004
"2_8",2004-02-22,-17.3507,-74.9459166666667,-17.20315,-75.0924333333333,2004-02-01,2004
"3_1",2004-01-13,-18.1082166666667,-72.4139833333333,-18.0350333333333,-72.51215,2004-01-01,2004
"3_2",2004-01-14,-18.3323833333333,-72.7019666666667,-18.2759833333333,-72.80005,2004-01-01,2004
"3_3",2004-01-14,-18.3065666666667,-72.8215833333333,-18.2393833333333,-72.9115833333333,2004-01-01,2004
"3_4",2004-01-15,-18.2926,-72.8959833333333,-18.2559833333333,-72.97525,2004-01-01,2004
"3_5",2004-01-16,-18.0205333333333,-72.3550166666667,-17.6324166666667,-72.4401166666667,2004-01-01,2004
"3_6",2004-01-16,-18.0166833333333,-72.3491,-17.9464,-72.44105,2004-01-01,2004
"3_7",2004-01-17,-18.09165,-72.4705166666667,-18.00065,-72.5334833333333,2004-01-01,2004
"3_8",2004-01-17,-18.0175666666667,-72.3724,-17.9501,-72.4581166666667,2004-01-01,2004
"3_9",2004-01-18,-18.0272833333333,-72.4334666666667,-17.9553666666667,-72.4891333333333,2004-01-01,2004
"3_10",2004-01-18,-17.98965,-72.3583833333333,-17.9197666666667,-72.4119333333333,2004-01-01,2004
"3_11",2004-01-19,-17.9551333333333,-72.3504166666667,-17.9551333333333,-72.4396,2004-01-01,2004
"3_12",2004-01-19,-18.0015,-72.2684166666667,-17.93695,-72.3509166666667,2004-01-01,2004
"3_13",2004-01-20,-18.3112333333333,-72.2627666666667,-18.2339833333333,-72.3390166666667,2004-01-01,2004
"3_14",2004-01-20,-18.13105,-72.15675,-18.0555166666667,-72.2459,2004-01-01,2004
"4_1",2004-03-20,-23.8224666666667,-72.1586333333333,-23.7263166666667,-72.2236333333333,2004-03-01,2004
"4_2",2004-03-20,-23.8224666666667,-72.1586333333333,-23.7263166666667,-72.2246833333333,2004-03-01,2004
"4_3",2004-03-23,-23.0858166666667,-72.5706,-22.87405,-72.6904833333333,2004-03-01,2004
"4_4",2004-03-25,-22.1193833333333,-73.7684333333333,-21.8904333333333,-73.9208333333333,2004-03-01,2004
"4_5",2004-03-26,-22.0761166666667,-73.9016,-21.8407666666667,-74.0532833333333,2004-03-01,2004
"4_6",2004-03-27,-21.9189166666667,-73.9763166666667,-21.68865,-74.1211666666667,2004-03-01,2004
"4_7",2004-03-28,-21.5730333333333,-73.9927833333333,-21.3335666666667,-74.1209833333333,2004-03-01,2004
"4_8",2004-03-29,-21.1699,-73.97265,-20.9567166666667,-74.1555333333333,2004-03-01,2004
"5_1",2004-04-19,-24.4932666666667,-72.8028333333333,-24.25945,-72.9581666666667,2004-04-01,2004
"5_2",2004-04-20,-24.60705,-72.9880333333333,-24.3563166666667,-73.1193666666667,2004-04-01,2004
"5_3",2004-04-21,-24.6761333333333,-73.1087833333333,-24.4093666666667,-73.23725,2004-04-01,2004
"5_4",2004-04-22,-24.7719,-73.2228833333333,-24.5220333333333,-73.3853833333333,2004-04-01,2004
"5_5",2004-04-23,-24.807,-73.1073833333333,-24.5716333333333,-73.217,2004-04-01,2004
"5_6",2004-04-24,-24.8368,-73.5704166666667,-24.5395,-73.7065333333333,2004-04-01,2004
"5_7",2004-04-25,-24.8037666666667,-73.8034666666667,-24.5395,-73.9500833333333,2004-04-01,2004
"5_8",2004-04-27,-21.8224166666667,-74.0084833333333,-21.55985,-74.1382833333333,2004-04-01,2004
"6_1",2004-01-08,-17.4261166666667,-73.1585333333333,-17.4545833333333,-73.2624833333333,2004-01-01,2004
"6_2",2004-01-08,-17.4238333333333,-73.17255,-17.3501333333333,-73.2710666666667,2004-01-01,2004
"6_3",2004-01-09,-17.4304666666667,-78.1559,-17.3672833333333,-73.2493833333333,2004-01-01,2004
"6_4",2004-01-10,-18.5202,-72.9156833333333,-18.4370833333333,-72.9712333333333,2004-01-01,2004
"6_5",2004-01-10,-18.52445,-72.8718666666667,-18.4066666666667,-72.8586166666667,2004-01-01,2004
"6_6",2004-01-11,-18.3278333333333,-72.7912666666667,-18.2670833333333,-72.8859333333333,2004-01-01,2004
"6_7",2004-01-11,-18.3577833333333,-72.8028833333333,-18.289,-72.88125,2004-01-01,2004
"6_8",2004-01-12,-18.3417833333333,-72.8222,-18.2889333333333,-72.9238333333333,2004-01-01,2004
"6_9",2004-01-12,-18.3417666666667,-72.8593166666667,-18.2711666666667,-72.9625666666667,2004-01-01,2004
"6_10",2004-01-13,-18.3981166666667,-72.8943333333333,-18.33025,-72.9747666666667,2004-01-01,2004
"7_1",2004-02-10,-20.5694,-70.9721333333333,-20.4202333333333,-71.2175833333333,2004-02-01,2004
"7_2",2004-02-11,-20.7689833333333,-71.0348666666667,-20.6362833333333,-71.2596833333333,2004-02-01,2004
"7_3",2004-02-12,-20.7501666666667,-71.0685833333333,-20.61365,-71.2834833333333,2004-02-01,2004
"7_4",2004-02-13,-20.6693833333333,-71.102,-20.52,-71.318,2004-02-01,2004
"8_1",2003-11-29,-17.9414333333333,-72.52675,-17.8168833333333,-72.4523333333333,2003-11-01,2003
