trip code,lance #,shark code,Lights,animal code,species,condition,fork length,total length,LA,dorsal length,disc width (rays),sex,clasper state,LC,pregnant?,# crias,use,sample type,photo #,photo link,photo link 2,Comments
1,1,21,,,Diamante,,155,,,,,hembra,,,FALSE,,,,,,,
1,1,22,,,Diamante,,132,,,,,macho,,,FALSE,,,,,,,
1,1,23,,,Azul,,123,,,,,macho,,,FALSE,,,,,,,
1,1,24,,,Azul,,114,,,,,macho,,,FALSE,,,,,,,
1,1,25,,,Diamante,,134,,,,,hembra,,,FALSE,,,,,,,
1,2,26,,,Azul,,120,,,,,macho,,,FALSE,,,,,,,
1,2,27,,,Diamante,,165,,,,,macho,,,FALSE,,,,,,,
1,2,28,,,Diamante,,124,,,,,macho,,,FALSE,,,,,,,
1,2,29,,,Azul,,133,,,,,macho,,,FALSE,,,,,,,
1,2,30,,,Azul,,107,,,,,macho,,,FALSE,,,,,,,
1,3,1,,,Diamante,,160,,,,,hembra,,,FALSE,,,,,,,
1,3,2,,,Diamante,,124,,,,,hembra,,,FALSE,,,,,,,
1,3,3,,,Azul,,92,,,,,hembra,,,FALSE,,,,,,,
1,3,4,,,Diamante,,152,,,,,hembra,,,FALSE,,,,,,,
1,3,31,,,Azul,,103,,,,,hembra,,,FALSE,,,,,,,
1,4,6,,,Diamante,,149,,,,,macho,,,FALSE,,,,,,,
1,4,7,,,Diamante,,138,,,,,macho,,,FALSE,,,,,,,
1,4,8,,,Diamante,,162,,,,,macho,,,FALSE,,,,,,,
1,4,9,,,Diamante,,150,,,,,macho,,,FALSE,,,,,,,
1,4,10,,,Diamante,,116,,,,,hembra,,,FALSE,,,,,,,
1,5,11,,,Diamante,,127,,,,,macho,,,FALSE,,,,,,,
1,5,12,,,Diamante,,162,,,,,macho,,,FALSE,,,,,,,
1,5,13,,,Diamante,,153,,,,,macho,,,FALSE,,,,,,,
1,5,14,,,Diamante,,155,,,,,hembra,,,FALSE,,,,,,,
1,5,15,,,Azul,,110,,,,,hembra,,,FALSE,,,,,,,
1,6,16,,,Diamante,,42,,,,,macho,,,FALSE,,,,,,,
1,6,17,,,Diamante,,89,,,,,macho,,,FALSE,,,,,,,
1,6,18,,,Diamante,,132,,,,,macho,,,FALSE,,,,,,,
1,6,19,,,Azul,,57,,,,,macho,,,FALSE,,,,,,,
1,6,20,,,Diamante,,190,,,,,macho,,,FALSE,,,,,,,
2,1,32,,mlc-47,Martillo,,132,,,,,hembra,,,FALSE,,,,,,,
2,1,25089,S,,Azul,2,,250,,0,,macho,2,,FALSE,,1,1,,,,
2,2,33,,mlc-48,Azul,,143,,,,,hembra,,,FALSE,,,,,,,
2,2,34,,mlc-49,Diamante,,123,,,,,macho,,,FALSE,,,,,,,
2,2,35,,mlc-50,Diamante,,76,,,,,macho,,,FALSE,,,,,,,
2,2,36,,mlc-51,Azul,,109,,,,,macho,,,FALSE,,,,,,,
2,2,37,,mlc-52,Diamante,,143,,,,,macho,,,FALSE,,,,,,,
2,3,38,,mlc-53,Diamante,,65,,,,,macho,,,FALSE,,,,,,,
2,3,39,,mlc-54,Azul,,165,,,,,hembra,,,FALSE,,,,,,,
2,3,40,,mlc-55,Diamante,,152,,,,,hembra,,,FALSE,,,,,,,
2,6,41,,mlc-56,Azul,,147,,,,,macho,,,FALSE,,,,,,,
2,6,42,,mlc-57,Azul,,143,,,,,hembra,,,FALSE,,,,,,,
2,6,43,,mlc-58,Diamante,,143,,,,,macho,,,FALSE,,,,,,,
2,6,44,,mlc-59,Azul,,122,,,,,macho,,,FALSE,,,,,,,
2,7,45,,mlc-60,Azul,,134,,,,,macho,,,FALSE,,,,,,,
2,7,46,,mlc-61,Diamante,,123,,,,,macho,,,FALSE,,,,,,,
4,1,62,,,Azul,,171,,,,,macho,,,FALSE,,,,,,,
4,1,63,,,Diamante,,89,,,,,hembra,,,FALSE,,,,,,,
4,1,64,,,Diamante,,88,,,,,macho,,,FALSE,,,,,,,
4,1,65,,,Diamante,,129,,,,,hembra,,,FALSE,,,,,,,
4,1,66,,,Diamante,,120,,,,,hembra,,,FALSE,,,,,,,
4,2,67,,,Diamante,,84,,,,,macho,,,FALSE,,,,,,,
4,2,68,,,Diamante,,140,,,,,hembra,,,FALSE,,,,,,,
4,2,69,,,Diamante,,131,,,,,macho,,,FALSE,,,,,,,
4,2,70,,,Diamante,,83,,,,,macho,,,FALSE,,,,,,,
4,2,71,,,Diamante,,130,,,,,macho,,,FALSE,,,,,,,
4,3,47,,,Diamante,,155,,,,,macho,,,FALSE,,,,,,,
4,3,48,,,Diamante,,127,,,,,hembra,,,FALSE,,,,,,,
4,3,49,,,Azul,,130,,,,,hembra,,,FALSE,,,,,,,
4,3,50,,,Diamante,,197,,,,,macho,,,FALSE,,,,,,,
4,3,51,,,Azul,,80,,,,,macho,,,FALSE,,,,,,,
4,4,52,,,Diamante,,150,,,,,macho,,,FALSE,,,,,,,
4,4,53,,,Azul,,117,,,,,hembra,,,FALSE,,,,,,,
4,4,54,,,Azul,,59,,,,,hembra,,,FALSE,,,,,,,
4,4,55,,,Azul,,81,,,,,macho,,,FALSE,,,,,,,
4,4,56,,,Azul,,180,,,,,hembra,,,FALSE,,,,,,,
4,5,57,,,Diamante,,122,,,,,hembra,,,FALSE,,,,,,,
4,5,58,,,Diamante,,68,,,,,hembra,,,FALSE,,,,,,,
4,5,59,,,Diamante,,71,,,,,hembra,,,FALSE,,,,,,,
4,5,60,,,Diamante,,63,,,,,hembra,,,FALSE,,,,,,,
4,5,61,,,Diamante,,120,,,,,macho,,,FALSE,,,,,,,
4,6,72,,,Azul,,85,,,,,hembra,,,FALSE,,,,,,,
4,6,73,,,Azul,,120,,,,,hembra,,,FALSE,,,,,,,
4,6,74,,,Diamante,,150,,,,,hembra,,,FALSE,,,,,,,
4,6,75,,,Azul,,172,,,,,hembra,,,FALSE,,,,,,,
4,6,76,,,Azul,,81,,,,,hembra,,,FALSE,,,,,,,
4,7,77,,,Azul,,141,,,,,macho,,,FALSE,,,,,,,
4,7,78,,,Diamante,,73,,,,,hembra,,,FALSE,,,,,,,
4,7,79,,,Diamante,,80,,,,,hembra,,,FALSE,,,,,,,
4,7,80,,,Azul,,53,,,,,hembra,,,FALSE,,,,,,,
4,7,81,,,Azul,,61,,,,,hembra,,,FALSE,,,,,,,
4,8,82,,,Azul,,162,,,,,hembra,,,FALSE,,,,,,,
4,8,83,,,Azul,,93,,,,,hembra,,,FALSE,,,,,,,
4,8,84,,,Azul,,90,,,,,hembra,,,FALSE,,,,,,,
4,8,85,,,Azul,,131,,,,,hembra,,,FALSE,,,,,,,
4,8,86,,,Azul,,63,,,,,macho,,,FALSE,,,,,,,
5,1,87,,,Azul,,137,,,,,macho,,,FALSE,,,,,,,
5,1,88,,,Azul,,151,,,,,macho,,,FALSE,,,,,,,
5,1,89,,,Azul,,195,,,,,macho,,,FALSE,,,,,,,
