"Trip.code","boat.name","Vessel.capacity","Vessel.length","Lugar.de.zarpe","crew","Fecha.de.zarpe","fecha.de.llegada","Sistema","Objective.species","Objective.species.2","Objective.species.3","puerto.de.llegada","panes","pane.1","pane.1.length.std","pane.1.depth.std","mesh.size.std","net.depth.std","pane.2","pane.2.length","pane.3","pane.3.length","Simple.net.size","capture.species.1","capture.species.2","capture.species.3","capture.species.4","capture.species.5","capture.species.6","capture.species.7","Quantity.1","Quantity.2","Quantity.3","Quantity.4","Quantity.5","Quantity.6","Quantity.7","Quantity.Units.1","Quantity.Units.2","Quantity.Units.3","Quantity.Units.4","Quantity.Units.5","Quantity.Units.6","Quantity.Units.7","cost.of.operation","Estimada.ganacia"
129,"Virgen de Fatima",NA,NA,"Salaverry",4,2005-02-01,2005-02-09,"red","tiburon",NA,NA,"Salaverry",24,NA,50,NA,20.32,3.82764654418198,NA,NA,NA,NA,NA,"martillo","diamante","zorro",NA,NA,NA,NA,706,4,5,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
140,"San Hilarion 2",NA,NA,"Salaverry",3,2005-01-05,2005-01-11,"red","tiburon",NA,NA,"Salaverry",22,NA,27.3403324584427,3.82764654418198,20.32,3.82764654418198,NA,NA,NA,NA,2302.28083912958,"martillo","zorro","azul",NA,NA,NA,NA,144,13,10,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
152,"Yher Luis marbe",NA,NA,"Salaverry",5,2005-02-22,2005-03-01,"red","martillo",NA,NA,"Salaverry",22,NA,32.8083989501312,NA,17.78,3.82764654418198,NA,NA,NA,NA,NA,"martillo","azul","perico",NA,NA,NA,NA,1660,2,15,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
160,"Yher Luis marbe",NA,NA,"Salaverry",5,2005-03-05,2005-03-10,"red","tiburon",NA,NA,"Salaverry",22,NA,60,NA,17.78,3.82764654418198,NA,NA,NA,NA,NA,"martillo","zorro","diamante",NA,NA,NA,NA,706,36,1,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
165,"Leon marino",NA,NA,"Salaverry",3,2005-03-15,2005-03-22,"red","martillo",NA,NA,"Salaverry",23,NA,50,7,17.78,4.37445319335083,NA,NA,NA,NA,8050,"martillo","raya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,"El pescador",NA,NA,"Salaverry",5,2005-03-29,2005-04-05,"red","tiburon",NA,NA,"Salaverry",14,NA,50,NA,20.32,3.82764654418198,NA,NA,NA,NA,NA,"martillo","zorro","raya","perico",NA,NA,NA,186,1,9,7,NA,NA,NA,"I","I","I","I",NA,NA,NA,NA,NA
172,"martin 1",NA,NA,"Salaverry",4,2005-04-14,2005-04-24,"red","martillo",NA,NA,"Salaverry",16,NA,30,NA,20.32,7,NA,NA,NA,NA,NA,"martillo","azul","diamante","cazon",NA,NA,NA,257,5,1,1,NA,NA,NA,"I","I","I","I",NA,NA,NA,NA,NA
175,"martin 1",NA,NA,"Salaverry",4,2005-04-26,2005-05-05,"red","martillo",NA,NA,"Salaverry",16,NA,30,NA,20.32,3.82764654418198,NA,NA,NA,NA,NA,"martillo","azul","diamante","zorro",NA,NA,NA,651,1,1,1,NA,NA,NA,"I","I","I","I",NA,NA,NA,NA,NA
177,"martin 1",NA,NA,"Salaverry",4,2005-05-09,2005-05-18,"red","martillo",NA,NA,"Salaverry",23,NA,16.4041994750656,NA,20.32,3.82764654418198,NA,NA,NA,NA,NA,"martillo","azul","diamante","albacora","merlin",NA,NA,116,1,4,17,1,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
181,"Yher Luis marbe",NA,NA,"Salaverry",5,2005-05-26,2005-06-04,"red","tiburon",NA,NA,"Salaverry",24,NA,60,NA,19.05,3.82764654418198,NA,NA,NA,NA,NA,"martillo","azul","diamante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
186,"Leon marino",NA,NA,"Salaverry",3,2005-08-21,2005-08-30,"red","raya","martillo",NA,"Salaverry",21,NA,30,NA,21.59,3.82764654418198,NA,NA,NA,NA,NA,"raya","martillo","vidrio",NA,NA,NA,NA,214,15,9,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
187,"Leon marino",NA,NA,"Salaverry",4,2005-09-04,2005-09-13,"red","martillo",NA,NA,"Salaverry",21,NA,30,NA,21.59,3.82764654418198,NA,NA,NA,NA,NA,"raya","martillo","vidrio",NA,NA,NA,NA,45,5,5,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
188,"yher luis marbe 2",NA,NA,"Salaverry",4,2005-07-01,2005-07-07,"red","martillo",NA,NA,"Salaverry",21,NA,30,NA,25.4,4.37445319335083,NA,NA,NA,NA,NA,"raya","martillo",NA,NA,NA,NA,NA,1,54,NA,NA,NA,NA,NA,"I","I",NA,NA,NA,NA,NA,NA,NA
189,"Leon marino",NA,NA,"Salaverry",3,2005-08-06,2005-08-15,"red","martillo",NA,NA,"Salaverry",21,NA,30,NA,21.59,4.37445319335083,NA,NA,NA,NA,NA,"martillo","diamante","azul","zorro","raya",NA,NA,55,8,3,1,1,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
196,"Fray martin 2",NA,NA,"Salaverry",4,2005-09-26,2005-10-04,"red","tiburon",NA,NA,"Salaverry",10,NA,38.2764654418198,4.37445319335083,21.59,4.92125984251969,NA,NA,NA,NA,1674.38606482151,"azul","cazon","martillo","raya",NA,NA,NA,2,1,1,5,NA,NA,NA,"I","I","I","I",NA,NA,NA,NA,NA
222,"martin 1",NA,NA,"Salaverry",4,2005-11-23,2005-12-04,"red","tiburon",NA,NA,"Salaverry",23,NA,27.3403324584427,3.28083989501312,20.32,NA,NA,NA,NA,NA,2063.08282986936,"raya","azul","diamante","martillo","bonito",NA,NA,441,5,2,140,17,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
225,"martin 1",NA,NA,"Salaverry",5,2006-01-15,2006-01-25,"red","zorro",NA,NA,"Salaverry",19,NA,27.3403324584427,3.28083989501312,21.59,NA,NA,NA,NA,NA,1704.28581597904,"perico","zorro","martillo","diamante","merlin negro",NA,NA,800,19,5,3,1,NA,NA,"K","I","I","I","I",NA,NA,NA,NA
228,"Hefzi ba",NA,NA,"Salaverry",4,2006-01-26,2006-02-02,"red","zorro",NA,NA,"Salaverry",22,NA,21.8722659667542,3.28083989501312,19.05,NA,NA,NA,NA,NA,1578.70686111743,"martillo","perico","bonito","caballa","tuno",NA,NA,433,250,100,300,24,NA,NA,"I","K","K","K","I",NA,NA,NA,NA
229,"Hefzi ba",NA,NA,"Salaverry",3,2006-02-06,2006-02-13,"red","martillo",NA,NA,"Salaverry",24,NA,32.8083989501312,3.28083989501312,15.24,NA,NA,NA,NA,NA,2583.33850001033,"martillo","bonito","perico","pampanito","chauchilla",NA,NA,440,492,1,23,23,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
233,"Don Lucho",NA,NA,"Salaverry",3,2006-02-20,2006-03-01,"red","martillo",NA,NA,"Salaverry",22,NA,32.8083989501312,3.82764654418198,17.78,NA,NA,NA,NA,NA,2762.7370069555,"martillo","cazon","bonito","perico","raya",NA,NA,1017,11,177,18,23,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
234,"San Hilarion 2",NA,NA,"Salaverry",NA,2006-03-02,2006-03-11,"red",NA,NA,NA,"Salaverry",22,NA,27.3403324584427,3.82764654418198,10.16,NA,NA,NA,NA,NA,2302.28083912958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,"Don Lucho",NA,NA,"Salaverry",4,2006-03-07,2006-03-16,"red","martillo",NA,NA,"Salaverry",22,NA,32.8083989501312,3.82764654418198,17.78,NA,NA,NA,NA,NA,2762.7370069555,"martillo","bonito","vidrio","cazon","azul",NA,NA,295,46,10,1,1,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
239,"Don Lucho",NA,NA,"Salaverry",5,2006-03-19,2006-03-30,"red","martillo",NA,NA,"Salaverry",23,NA,32.8083989501312,3.82764654418198,17.78,NA,NA,NA,NA,NA,2888.31596181711,"martillo","zonito","raya","azul","diamante",NA,NA,559,19,49,1,1,NA,NA,"I","I","I","I","I",NA,NA,NA,NA
240,"San Hilarion 2",NA,NA,"Salaverry",5,2006-04-01,2006-04-09,"red","martillo",NA,NA,"Salaverry",22,NA,27.3403324584427,3.82764654418198,20.32,NA,NA,NA,NA,NA,2302.28083912958,"martillo","raya","perico",NA,NA,NA,NA,729,91,3,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
241,"Virgen de la puerta",NA,NA,"Salaverry",4,2006-04-11,2006-04-17,"red","martillo",NA,NA,"Salaverry",36,NA,16.4041994750656,3.82764654418198,20.32,NA,NA,NA,NA,NA,2260.42118750904,"martillo","bonito",NA,NA,NA,NA,NA,1017,43,NA,NA,NA,NA,NA,"K","K",NA,NA,NA,NA,NA,NA,NA
242,"San Hilarion 2",NA,NA,"Salaverry",5,2006-04-15,2006-04-22,"red","martillo",NA,NA,"Salaverry",22,NA,32.8083989501312,3.82764654418198,10.16,NA,NA,NA,NA,NA,2762.7370069555,"martillo","cazon","bonito","raya",NA,NA,NA,5,1,12,41,NA,NA,NA,"I","I","I","I",NA,NA,NA,NA,NA
243,"Fortaleza de mi padre",NA,NA,"Salaverry",4,2006-04-24,2006-05-05,"red","martillo",NA,NA,"Salaverry",22,NA,16.4041994750656,3.82764654418198,20.32,NA,NA,NA,NA,NA,1381.36850347775,"martillo","raya","bonito",NA,NA,NA,NA,340,12,4,NA,NA,NA,NA,"I","I","I",NA,NA,NA,NA,NA,NA
244,"Fray martin 2",NA,NA,"Salaverry",3,2006-05-06,2006-05-12,"red","martillo",NA,NA,"Salaverry",16,NA,43.7445319335083,3.28083989501312,17.78,3.82764654418198,NA,NA,NA,NA,2296.30088889807,"raya aguila","martillo","bonito",NA,NA,NA,NA,250,10,5,NA,NA,NA,NA,"K","K","K",NA,NA,NA,NA,NA,NA
