PD_name,Sci_genus,Sci_spp,,Common_name,Source,Comments
aguja,Strongylura,exilis,,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/aguja/aguja.htm
albacora,Thunnus,alalunga,,,,
aleta,,,,,,
algas,,,,,,
anchoveta blanca ,Anchoa,nasus,,,http://www.perupesquero.org/en/suspenden-actividades-extractivas-de-anchoveta-y-anchoveta-blanca,
anchoveta negra,,,,,,? might be same as anchoveta
angelota ,,,,,,same as angelote
angelote,Squatina,armata,,,,
arajito,,,,,,
atun aleta amarilla,Thunnus,alalunga,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/atun-aleta-amarilla/atun-aleta-amarilla.htm,
atun ,,,,,,
azul ,Prionace,glauca,,,,
bacalao ,Polyprion,oxygeneios,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/bacalao-de-juan-fernandez/bacalao-de-juan-fernandez.htm,Might also be Mugiloides chilensis http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
bacha,,,,,,
bagre,Galeichthys ,peruvianus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,"Could also be Bagre panemensis, Bagre pinnimaculatus"
barracuda,Sphyraena,ensis,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/barracuda/barracuda.htm,
barrilete,Katsuwonus,pelamis,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
barrilete negra,Auxis,thazard,thazard,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,Auxis rochei http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
batana,Diodon,hystrix,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,Dasyatis brevis http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
batea,Dasyatis,dipterura,,,http://www.fishbase.org/ComNames/CommonNameSearchList.php?CommonName=Batea&crit1_operator=CONTAINS,Dasyatis brevis http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
bocon,Lophiodes,caulinaris,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/bocon/bocon.htm,
bonito,Sarda,chiliensis,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,or sarda orientalis?
borrauad,,,,,,
botella,Auxis,rochei,,,"http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf, p 37",
caballa,Scomber,japonicus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
caballito,Hippocampus,ingens,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
cabinza,Paranthias,colonus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,Isacia conceptionis wikipedia??
cabrilla,Paralabrax,humeralis,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
cabrillon,,,,,,
cachema,Cynoscion,analis,,,,
cachito,,,,,,
cacho,Squalus,acanthias,,,http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf, Sphyrna zygaena http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
cachona,Sphyrna,tiburo,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/tiburon-bonete-del-pacifico/tiburon-bonete.htm,not sure. This is the colombia name
cachuda,Sphyrna,spp,,,Ecoceana guide,https://cites.org/sites/default/files/sharks_id_material/050_Gui%C2%A6%C3%BCa%20especies%20comerciales%20Colombia_0.pdf
cagalo,Paralabrax,humeralis,,,http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf,
calamar,Lolliguncula,sp.,,,Estrella Avellano and Swartzman 2010,
camotillo,Diplectrum,eumelum,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/camotillo/camotillo.htm,
cangrejo,,,,,,
cangrejo gato,,,,,,
cangrejo negro,,,,,,
caracol baboso,,,,,,
caracol pia,,,,,,
caracoles,Stramonita,chocolata,,,Estrella Arellano and Swartzman 2010,
caracoles cono,,,,,,
carajito,Diplectrum,conceptione,,,"http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf, p 35",
carate,,,,,,
carateka,,,,,,
carey,,,,,,
cau cau,,,,,,
cazon,Carcharhinus,brachyurus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/cazon/cazon.htm,"Could also be altimus, galapagensis, leucas http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf"
cazon chileno,,,,,,
chancho,,,,,,
chancho marino,,,,,,
chapuleta,,,,,,
chauchilla,,,,,,
chileno,Galeorhinus,galeus,,,David,
chili,,,,,,chiri?
chilindrina,Stromateus,stellatus,,,http://www.imarpe.gob.pe/tumbes/especies_comerciales/pelagicos/chiri.pdf,
chino,Medialuna,ancietae,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
chiri,Peprilus,medius,,,http://www.imarpe.gob.pe/tumbes/especies_comerciales/pelagicos/chiri.pdf,Also blue shark http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
chita,Anisotremus,scapularis,,,David,
chula,Xenistius,californiensis,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
coco,Paralonchurus,peruanus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,or rathbuni
cojinova,Seriolella,violacea,,,,
concha  ,,,,,,
concha de albanico,Concholepas,concholepas,,,http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/boletines/FICHAS%20PRINCIPALES%20ESPECIES.pdf,
congrio,Genypterus,maculatus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
congrio blanco,,,,,,
congrio cato,Lepophidium,negropinna,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
congrio chilindrina,,,,,,
congrio gato blanco,,,,,,
congrio mediano,,,,,,
congrio negro,Genypterus,maculatus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
congrio rojo,,,,,,
congrio rojo mediano,,,,,,
corvina,Cilus,giberti,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
cruceta,Sphyrna,zygaena,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
culebra,Myrichthys,tigrinus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
diablo,Pontinus,furcirrhinus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
diablo rojo,Dosidicus,gigas,,,,
diamante,Isurus,oxyrinchus,,,,
doncella,Halichoeres,dispilus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
doncella gato,,,,,,
espada,Xiphias,gladius,,,,
espejo,Selene,peruviana,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
fina,,,,,,
gallinazo,Sciaena,fasciata,,,https://books.google.com/books?id=JldWfHf4s3UC&pg=PA101&lpg=PA101&dq=pez+gallinazo+peru&source=bl&ots=0hn_QU49tH&sig=bSnVvoiDx-iMmVwNONGj5t1Kw4o&hl=en&sa=X&ved=0ahUKEwik-9GlpIjQAhVFqVQKHQbaCYYQ6AEIWTAL#v=onepage&q&f=false,Deleted gallinaza and gallinasa. Ophioscion obscurus http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
gata,Heterodontus,quoyi,,,David,
gatita,Notorynchus,cepedianus,,,David,
gato,Schroederichhys,chiliensis,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
guiro,,,,,,
guitarra,Rhinobatos,planiceps,,,David,glaucostigma according to http://www.viarural.com.pe/alimentos/pescados-y-mariscos/
guitarra electrica,,,,,,
guitarra nortena,,,,,,
iguana,Synodus,lacertinus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
jurel,Trachurus,murphy,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
langosta,Panulirus,gracilis,,,http://www.imarpe.gob.pe/tumbes/especies_comerciales/invertebrados/langosta.pdf,
langostino,Litopenaeus,vannamei,,,http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/boletines/FICHAS%20PRINCIPALES%20ESPECIES.pdf,
lenguado,Paralichthys,adspersus,,,David--this is lenguado fino in http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
lengueta,Symphurus,sp.,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/a-clasificacion/actinopterigios/default.htm,
ler,,,,,,
levas,Istiophorus,platyperus,,,,velas?
lisa,Mugil,cephalus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
lisa voladora,Hirundichthys,rondeletii,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
lisilla,Mugil,cephalus,,,,probably. Juvenile?
lomo negro,Peprilus,snyderi,,,"http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf, 37",
lorna,Sciaena,deliciosa,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
mama,Mustelus,whitneyi,,,David,
mamita,Mustelus,whitneyi,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
manta ,Manta,birostris,,,,Manta hamiltoni http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
manta blanca,Mobula ,sp.,,,,
manta japonica,Mobula ,sp.,,,,
manta negra,Mobula ,sp.,,,,
mantequero,Carcharhinus,falciformis,,,http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf,
marotilla,Calamus,brachysomus,,,http://tintorero-wwwartesdepesca.blogspot.com/2012/01/vamos-pescar-pez-pluma.html,
martillo,Sphyrna,zygaena,,,,
martillo grande,Sphyrna,mokarran,,,http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf,
merlin,Makaira,indica,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
merlin negro,Makaira,indica,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
merlin rayado,Tetrapturus,audax,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
merluza,Merluccius,gayi,,,http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf,
mero,Alphestes,immaculatus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,maybe Medialuna ancietae http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1
mobula,Mobula ,sp.,,,,
mobula blanca,Mobula ,sp.,,,,
mobula japonica,Mobula ,sp.,,,,
mobula munkiana,Mobula ,sp.,,,,
morena,Muraena,lentiginosa,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
narizon,Galeorhinus,galeus,,,,
nata,Carcharhinus,leucas,,,,probably
nato,Carcharhinus,leucas,,,Ecoceana guide,
otro,,,,,,
ovas,Hemilutjanus,macrophthalmus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,?? Ojo de uva?
p. spi.,,,,,,
pampanito,Alectis,ciliaris,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,Or Trachinotus paitensis same site
pampano,Trachinotus,paitensis,,,http://www.imarpe.gob.pe/tumbes/especies_comerciales/pelagicos/chiri.pdf,Viarural says Trachinotus kennedyi
parbo,Chloroscomburs,orqueta,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
pardo,Carcharhinus,brachyurus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,Also Chloroscomburs orqueta in same source
pava,,,,,,
pavita pia,,,,,,
peces s/i,Unknown,Sp.,,,,
peces s/n,Unknown,Sp. ,,,,
peje,,,,,,
peje blanco,Caulolatilus,princeps,,,,"Caulolatilus cabezon in http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1, Caulolatilus affinus in http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf p 35"
pejegallo,Callorhinchus ,callorynchus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
perela,Paralabrax,callaensis,,,,
perico,Coryphaena,hippurus,,,,
pez vela,Istiophorus,platyperus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
piloto,Naucrates,ductor,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
pintadilla,Cheilodactylus,variegatus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
platillos,Psammobatis,Sp.,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
pota,Dosidicus,gigas,,,,
pulpo,Octopus,mimus,,,http://www2.produce.gob.pe/RepositorioAPS/3/jer/ACUISUBMENU4/Inf-BBNN-Tumbes.pdf,
quimeras,Hydrolagus,Sp.,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
rara,Triakis,maculatus,,,David,
raya,Elasmobranchii,Sp.,,,,
raya aguila,Myliobatis,chilensis,,,http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf,or peruvianis
raya espinosa,Urotrygon,Sp.,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
raya grande,,,,,,
raya negra,,,,,,
raya pequenas,,,,,,
raya wiro,,,,,,
suco,Paralonchurus,dumerilii,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
suquillo,,,,,,
tamborin,Sphoeroides,annulatus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/,
tapadera,Urotrygon,Sp.,,,https://www.scribd.com/doc/39841201/PECES-CARTILAGINOSOS-DEL-PERU,
tiburon,Carcharhinus,Sp.,,,,
tiburon toro,Carcharhinus,leucas,,,wikipedia,
tino,,,,,,
tollo,,,,,,
tollo blanco,Mustelus,dorsalis,,,http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf,
tollo comun,Mustelus,whitneyi,,,http://www.imarpe.pe/imarpe/archivos/informes/imarpe_19%29_estudio_de_tiburones_web.pdf,
tortuga,,,,,,
toyo,,,,,,
tuno,Thunnus,Sp.,,,,
tuno bueno,Thunnus,Sp.,,,,
tuno malo,Thunnus,Sp.,,,,
tuya,,,,,,
veca,Istiophorus,platyperus,,,,Vela?
vela,Istiophorus,platyperus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
verdes,,,,,,
verrugata,Menticirrhus,undulatus,,,http://www.viarural.com.pe/alimentos/pescados-y-mariscos/lambe-berrugato/lambe-berrugato.htm,Umbrina xanti http://www.biodiversidad.gob.mx/usos/alimentacion/peces/index.php/peces/resultado?recomendacion=3
vidrio,Galeorhinus,galeus,,,PD shark ID sticker,Almost every shark in the Ecoceana guide is vidrio
violador,Cypselurus,heterus,,,,Probably volador??
viuda,Bodianus,eclancheri,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
voladora,Cypselurus,heterus,,,http://biblioimarpe.imarpe.gob.pe:8080/bitstream/handle/123456789/1190/IP%2037.2.pdf?sequence=1,
wira,,,,,,
zonito,Sarda,chiliensis,,,,Bonito?
zorrillo,,,,,,
zorrito,Alopias,vulpinus,,,,juvenile?
zorro ,Alopias,vulpinus,,,,
zorro pelagico,Alopias,pelagicus,,,,
zuco,Paralonchurus,dumerilii,,,,probably suco
