Trip Code,Data entry,Boat name,Observer name,Captain name,Vessel capacity,Vessel length,Lugar de zarpe,. crew,. de matricula,Motor HP,Fecha de zarpe,hora de zarpe,Sistema,Objective species,Objective species 2,Objective species 3,fecha de llegada,hora de llegada,Puerto de llegada,Bait type 1,Bait type 2,Bait type 3,Bait state 1,Bait state 2,Bait state 3,. hooks,Corcho distance,"corcho distance, m or b",hook tipo y tamano,Mainline length,Mainline length units,Mainline material,Mainline thickness,hook depth (branchline length),Branchline material,Branchline thickness,"hook depth, m or b",hook - distance betwen,hook distance units,Use weight,Weight amount,Weigth to hook distance,linea madre/net depth,Net depth category,. panes,Pane 1 .,Net 1 type,Pane size - Length,Pane size - Depth,Pane size - Units,Mesh size,Mesh size - Units,Net depth,Net depth - Units,Pane 2 .,Net 2 type,Pane 2 length,Pane 2 depth,Pane 2 units,Pane 2 water depth,Pane 2 water depth - Units,Pane 2 mesh size,Pane 2 mesh size - units,Pane 3 .,Net 3 type,Pane 3 length,Pane 3 depth,Pane 3 units,Pane 3 water depth,Pane 3 water depth - Units,Pane 3 mesh size,Pane 3 mesh size - units,Mixed - type,Mixed- depth category,mixed - . panes,mixed - pane 1 - length,mixed - pane 1 - height,mixed - pane 1 units,mixed - pane 2 - length,mixed - pane 2 - height,mixed - pane 2 units,mixed - pane 1 mesh size,mixed - pane 1 mesh units,mixed - pane 2 mesh size,mixed - pane 2 mesh units,PS - number floats,PS - distance between floats FROM,PS - distance between floats TO,PS - number leads,PS - distance between leads FROM,PS - distance between leads TO,PS - boliche length,PS - boliche height,PS - material relinga superior,PS - grosor relinga superior,PS - material relinga inferior,PS - grosor relinga inferior,PS - mesh size,PS - ring diameter,Capture species 1,Capture species 2,Capture species 3,Capture species 4,Capture species 5,Capture species 6,Capture species 7,Quantity 1,Quantity 2,Quantity 3,Quantity 4,Quantity 5,Quantity 6,Quantity 7,Quantity Units 1,Quantity Units 2,Quantity Units 3,Quantity Units 4,Quantity Units 5,Quantity Units 6,Quantity Units 7,Cost of operation,Estimada ganacia,Comments
1,,Lucio 5,MCT,,,,Ilo,6,IO 21543 CM,,2/22/04,1/0/00,manual,tiburon,,,3/9/04,1/0/00,Ilo,caballa,,,fresca,,,1000,,,,,,,,8,,,b,16,b,,,,Superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,1000,3000,,,,,,k,k,,,,,,5980,989,Distancia entre anzuelos:  16bz
2,,Aletita Azul 3,MLC,,,,Ilo,4,IO-21422-BM,,2/10/04,1/0/00,manual,perico,,,2/27/04,1/0/00,Ilo,caballa,pota,lisa,congelada,fresca,fresca,850,,,musted 02,,,,,14.60000038,,,m,28,m,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,diamante,Azul,aleta,,,,557.5,25,38,8.5,,,,k,k,k,k,,,,,,"Distancia entre anzuelos:  27.59 m. 
Perico value: 4 soles / kilo"
3,,Edwin Yesenia,FJ,,,,Ilo,4,IO -17373,,1/12/04,1/0/00,manual,perico,,,1/21/04,1/0/00,Ilo,pota,,,fresca,,,700,,,mustad,,,,,5,,,b,10,b,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,2500,,,,,,,k,,,,,,,,,Distancia entre anzuelos:  10bz
4,,Lucio 5,MCT,,,,Ilo,6,IO-21543-CM,,3/13/04,1/0/00,manual,tiburon,,,4/1/04,1/0/00,Ilo,caballa,,,fresca,,,1200,,,,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merlin,diamante,Azul,,,,,300,1200,600,,,,,k,k,k,,,,,5500,890,Distancia entre anzuelos:  16bz
5,,Lucio 5,MCT,,,,Ilo,5,IO-21543-CM,,4/14/04,1/0/00,manual,tiburon,,,4/30/04,1/0/00,Ilo,caballa,,,fresca,,,1200,,,,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,,,,,,1000,600,,,,,,k,k,,,,,,6900,650,Distancia entre anzuelos:  16bz
6,,Milagritos,MCT,,,,Ilo,4,IO-1057-BM,,1/6/04,1/0/00,manual,perico,,,1/15/04,1/0/00,Ilo,pota,,,fresca,,,500,,,,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1900,,,,,,,k,,,,,,,1600,880,"Distancia entre anzuelos:  14, 15 bz"
7,,Lucio 5,MCT,,,,Ilo,5,IO-21543-CM,,2/8/04,1/0/00,manual,tiburon,,,2/16/04,1/0/00,Ilo,caballa,,,fresca,,,1000,,,,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,,,,,,490,75,,,,,,k,k,,,,,,5500,,Distancia entre anzuelos:  16bz
8,,Milagritos,MCT,,,,Ilo,3,IO-1057-BM,,11/17/03,1/0/00,manual,tiburon,,,12/1/03,1/0/00,Ilo,caballa,,,congelada,,,580,,,,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,lisa voladora,,,,,,980,500,,,,,,k,k,,,,,,3500,150,"Distancia entre anzuelos:  14, 15 bz.  Cambiaron especie objetivo a Perico. Tuvieron un percance con el alternador del motor, estuvieron al garete del 11/20 al 11/28 que llego la ayuda, la lisa la hicieron en esos dias."
9,,San Miguel 2,MMR,,,,Ilo,3,IO-12389-BM,,11/15/03,,manual,tiburon,,,11/24/03,1/0/00,Ilo,caballa,pota,,congelada,fresca,,500,,,1 Noruego,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,Perico,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
10,,Jesusito,PDM,,,,Ilo,3,IO-20816-BM,,11/4/03,1/0/00,manual,tiburon,,,11/19/03,1/0/00,Ilo,caballa,lisa,,congelada,,,700,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,Perico,,,,,1700,400,,,,,,k,k,,,,,,,,Distancia entre anzuelos:  15bz
